0.463227	0.607415	0	0	0.463227	0.607415	0.6	0.6	2.19994	0
0.96749	0.405862	4.58427	-1.83232	0.968521	0.40545	0.819984	0.600095	2.19943	0.00228003
0.958365	0.627631	0.110368	2.04304	0.947752	0.636824	1.0399	0.60057	2.19841	0.00759519
1.34291	0.364408	2.32002	-0.722813	1.42287	0.264328	1.25971	0.601728	2.19686	0.0159342
1.55915	0.54387	2.252	0.363465	1.55228	0.653503	1.47934	0.60387	2.19474	0.0272796
1.7723	0.520758	2.21011	0.156745	1.76437	0.481646	1.69875	0.607297	2.19201	0.0416075
2.02094	0.585981	2.2935	0.306295	2.04483	0.628829	1.91786	0.612305	2.18863	0.0588874
2.22905	0.569596	2.23443	0.17551	2.20692	0.520594	2.13661	0.619189	2.18452	0.079082
2.40447	0.574174	2.10571	0.140744	2.3478	0.558867	2.35492	0.628237	2.17963	0.102147
2.58975	0.516657	2.03857	-0.0492717	2.55749	0.425369	2.57271	0.639735	2.17386	0.128031
2.8676	0.598285	2.23558	0.181183	2.9662	0.713622	2.78989	0.653961	2.16713	0.156675
3.03672	0.615035	2.08969	0.177516	2.96255	0.61317	3.00635	0.67119	2.15934	0.188011
3.23056	0.737041	2.04893	0.458422	3.20975	0.880424	3.22199	0.691687	2.15038	0.221964
3.46132	0.72072	2.11885	0.290399	3.49701	0.634952	3.43667	0.71571	2.14014	0.258449
3.70955	0.687899	2.21723	0.122972	3.75974	0.602488	3.65028	0.743508	2.12852	0.297373
3.91979	0.75401	2.18615	0.268655	3.90394	0.828314	3.86265	0.77532	2.11537	0.338634
4.10663	0.841513	2.10014	0.432779	4.06275	0.925243	4.07364	0.811376	2.10059	0.382119
4.37033	0.789243	2.24539	0.174237	4.44447	0.657287	4.28307	0.851892	2.08405	0.427705
4.53696	0.826976	2.08872	0.229179	4.45696	0.85503	4.49077	0.897072	2.06561	0.475262
4.76588	0.930549	2.14297	0.447356	4.79359	1.04199	4.69652	0.947107	2.04515	0.524645
